id,postcode,latitude,longitude
1,AB10 5UB,57.144156,-2.114864
2,AB10 6RN,57.137871,-2.121487
3,AB10 7JB,57.124274,-2.127206
4,AB11 5QN,57.142701,-2.093295
5,AB11 6UL,57.137468,-2.112455
6,AB11 8RQ,57.135968,-2.072115
7,AB12 3FJ,57.097987,-2.077447
8,AB12 4NA,57.064273,-2.130018
9,AB12 5GL,57.081938,-2.246567
10,AB12 9SP,57.148707,-2.097806
11,AB14 0TQ,57.101557,-2.268502
12,AB15 5HB,57.147419,-2.147266
13,AB15 6NA,57.151538,-2.186559
15,AB15 8UF,57.153997,-2.224402
16,AB15 9SE,57.118665,-2.174201
17,AB16 5ST,57.163466,-2.159350
18,AB16 6SZ,57.158742,-2.165215
19,AB16 7NX,57.168438,-2.161636
20,AB21 0AL,57.263206,-2.158990
21,AB21 0TF,57.221877,-2.273372
22,AB21 7LD,57.212136,-2.185602
23,AB21 7LE,57.211762,-2.182504
24,AB21 7LF,57.203429,-2.173905
25,AB21 7LG,57.210955,-2.181904
26,AB21 7LH,57.210256,-2.180924
27,AB21 7LJ,57.210353,-2.181967
28,AB21 7LL,57.212451,-2.184957
29,AB21 7LN,57.210315,-2.183374
30,AB21 7LP,57.209893,-2.182908
31,AB21 7LQ,57.209272,-2.183832
32,AB21 7LR,57.208904,-2.184062
33,AB21 7LS,57.208875,-2.184906
34,AB21 7LT,57.209069,-2.181795
35,AB21 7LU,57.208888,-2.182158
36,AB21 7LW,57.204759,-2.176268
37,AB21 7LX,57.210076,-2.180592
38,AB21 7LY,57.210186,-2.179301
39,AB21 7LZ,57.209431,-2.179297
40,AB21 7NA,57.209443,-2.177841
41,AB21 7NB,57.208860,-2.176696
42,AB21 7ND,57.208698,-2.177274
43,AB21 7NE,57.209050,-2.176067
44,AB21 7NF,57.205290,-2.175559
45,AB21 7NG,57.204372,-2.176128
46,AB21 7NH,57.207561,-2.174273
47,AB21 7NJ,57.208520,-2.175949
48,AB21 7NP,57.207443,-2.175067
49,AB21 7NQ,57.206714,-2.176338
50,AB21 7NR,57.207378,-2.176655
51,AB21 7NS,57.207727,-2.177418
52,AB21 7NX,57.234409,-2.187884
53,AB21 7NY,57.227939,-2.170957
54,AB21 7PB,57.196572,-2.182743
55,AB21 7PE,57.243972,-2.165596
56,AB21 7PH,57.250039,-2.162508
57,AB21 7PP,57.260371,-2.176947
58,AB21 7PQ,57.253354,-2.182030
59,AB21 7PR,57.256942,-2.181323
60,AB21 7PS,57.250681,-2.191281
61,AB21 7PU,57.248606,-2.175018
62,AB21 7PW,57.255804,-2.172997
63,AB21 7PY,57.255583,-2.195256
64,AB21 7PZ,57.260686,-2.200571
65,AB21 7QQ,57.199803,-2.190902
66,AB21 7UU,57.239418,-2.190245
69,AB21 7XA,57.225777,-2.161656
70,AB21 7XB,57.237611,-2.161846
74,AB21 9AB,57.189905,-2.170814
75,AB21 9AD,57.177536,-2.170923
76,AB21 9AE,57.178514,-2.171688
77,AB21 9AG,57.177808,-2.168327
78,AB21 9AH,57.179330,-2.172452
79,AB21 9AJ,57.178845,-2.172797
80,AB21 9AL,57.179535,-2.173777
81,AB21 9AN,57.178294,-2.174995
82,AB21 9AP,57.177273,-2.174615
83,AB21 9AR,57.178557,-2.173127
84,AB21 9AS,57.176425,-2.174936
85,AB21 9AT,57.177858,-2.177887
86,AB21 9AU,57.178277,-2.180072
87,AB21 9AX,57.179997,-2.183654
88,AB21 9AY,57.179036,-2.183550
89,AB21 9BB,57.179791,-2.185362
90,AB21 9BD,57.179276,-2.185403
91,AB21 9BE,57.178415,-2.184374
92,AB21 9BG,57.175427,-2.157737
93,AB21 9BH,57.176663,-2.178659
94,AB21 9BJ,57.176297,-2.177036
95,AB21 9BL,57.175331,-2.179860
96,AB21 9BN,57.175917,-2.178374
97,AB21 9BP,57.176330,-2.179104
98,AB21 9BQ,57.176003,-2.181434
99,AB21 9BR,57.175410,-2.181597
100,AB21 9BS,57.174854,-2.180701
101,AB21 9BT,57.174592,-2.181923
102,AB21 9BU,57.173719,-2.183027
103,AB21 9BX,57.174924,-2.181925
104,AB21 9BY,57.174939,-2.183992
105,AB21 9DA,57.173838,-2.181556
106,AB21 9DB,57.173577,-2.182051
107,AB21 9DD,57.174643,-2.183511
108,AB21 9DE,57.174183,-2.185262
109,AB21 9DF,57.174405,-2.186752
110,AB21 9DG,57.176556,-2.182264
111,AB21 9DH,57.174672,-2.188142
112,AB21 9DJ,57.175188,-2.185466
113,AB21 9DL,57.175397,-2.183862
114,AB21 9DN,57.175785,-2.183170
115,AB21 9DP,57.176363,-2.180708
116,AB21 9DQ,57.177078,-2.179146
117,AB21 9DR,57.177068,-2.177569
119,AB21 9DT,57.177510,-2.169814
120,AB21 9DU,57.178677,-2.170710
121,AB21 9DX,57.181097,-2.174826
122,AB21 9DY,57.182197,-2.177858
123,AB21 9EA,57.182208,-2.176882
124,AB21 9EB,57.183094,-2.179087
125,AB21 9ED,57.183524,-2.179767
126,AB21 9EE,57.183910,-2.180050
127,AB21 9EF,57.182469,-2.176156
128,AB21 9EG,57.181527,-2.177662
129,AB21 9EH,57.183570,-2.178676
130,AB21 9EJ,57.183096,-2.177830
131,AB21 9EL,57.183477,-2.181438
132,AB21 9EN,57.184346,-2.182848
133,AB21 9EP,57.184576,-2.184983
134,AB21 9EQ,57.184075,-2.184137
135,AB21 9ER,57.182430,-2.184526
137,AB21 9ET,57.181302,-2.181626
138,AB21 9EU,57.181724,-2.182091
139,AB21 9EW,57.183608,-2.183539
140,AB21 9EX,57.180724,-2.184071
141,AB21 9EY,57.180960,-2.184739
142,AB21 9HA,57.181339,-2.187415
143,AB21 9HB,57.179981,-2.182033
144,AB21 9HE,57.179756,-2.169940
145,AB21 9HH,57.179485,-2.170369
146,AB21 9HJ,57.186657,-2.181354
147,AB21 9HN,57.187988,-2.180318
148,AB21 9HQ,57.183893,-2.181263
149,AB21 9HR,57.184196,-2.180763
150,AB21 9HS,57.186709,-2.182347
151,AB21 9HT,57.185636,-2.181437
152,AB21 9HU,57.188570,-2.181215
153,AB21 9HW,57.188204,-2.179757
154,AB21 9HX,57.187969,-2.176535
155,AB21 9HY,57.189632,-2.179846
156,AB21 9HZ,57.187008,-2.180462
157,AB21 9JB,57.189964,-2.180576
158,AB21 9JD,57.190324,-2.179568
159,AB21 9JE,57.190671,-2.182168
160,AB21 9JH,57.190894,-2.183195
161,AB21 9JJ,57.191223,-2.186158
162,AB21 9JL,57.190925,-2.186339
163,AB21 9JP,57.190004,-2.183986
164,AB21 9JQ,57.189961,-2.182479
165,AB21 9JR,57.189690,-2.184744
166,AB21 9JS,57.191859,-2.180817
167,AB21 9JT,57.190966,-2.177007
168,AB21 9JU,57.192085,-2.179627
169,AB21 9JX,57.193843,-2.181323
170,AB21 9JY,57.191355,-2.180963
171,AB21 9LA,57.190936,-2.175044
172,AB21 9LB,57.177485,-2.168871
173,AB21 9LD,57.177027,-2.168604
174,AB21 9LE,57.177553,-2.171501
175,AB21 9LF,57.173171,-2.156117
176,AB21 9LG,57.175216,-2.168221
177,AB21 9LJ,57.176790,-2.171101
178,AB21 9LL,57.177224,-2.171323
179,AB21 9LN,57.177892,-2.173240
180,AB21 9LP,57.176484,-2.167483
181,AB21 9LQ,57.177093,-2.166289
182,AB21 9LR,57.176834,-2.164948
183,AB21 9LS,57.176449,-2.164053
184,AB21 9LT,57.175298,-2.164974
185,AB21 9LU,57.176151,-2.164863
186,AB21 9LW,57.175003,-2.164064
187,AB21 9LX,57.175321,-2.163194
188,AB21 9LZ,57.179198,-2.177215
189,AB21 9NA,57.175561,-2.162644
190,AB21 9NB,57.173914,-2.160790
191,AB21 9ND,57.173675,-2.155987
192,AB21 9NL,57.173624,-2.153308
193,AB21 9NN,57.173447,-2.150909
194,AB21 9NP,57.176900,-2.157925
196,AB21 9NS,57.175672,-2.153085
197,AB21 9NT,57.178558,-2.161224
198,AB21 9NU,57.179164,-2.169259
199,AB21 9NX,57.178124,-2.163074
200,AB21 9NY,57.176122,-2.159950
201,AB21 9PA,57.179329,-2.166878
202,AB21 9PB,57.178818,-2.168420
203,AB21 9PD,57.175044,-2.173491
204,AB21 0TG,57.191680,-2.287612
205,AB21 0TH,57.193979,-2.279968
206,AB21 0TJ,57.201911,-2.278665
207,AB21 0TL,57.197769,-2.278898
208,AB21 0TN,57.187418,-2.276140
209,AB21 0TP,57.186151,-2.281994
210,AB21 0TQ,57.182373,-2.294582
211,AB21 0TR,57.178136,-2.300716
212,AB21 0TS,57.184646,-2.303306
213,AB21 0TT,57.190900,-2.257899
214,AB21 0TU,57.196678,-2.242318
215,AB21 0TW,57.207544,-2.286355
216,AB21 0TX,57.197888,-2.265809
217,AB21 0TY,57.199614,-2.264795
218,AB21 0TZ,57.189496,-2.274981
219,AB21 0UA,57.263775,-2.187685
220,AB21 0UB,57.215489,-2.195006
221,AB21 0UD,57.273084,-2.185610
222,AB21 0UE,57.263271,-2.155969
223,AB21 0UF,57.267095,-2.173149
224,AB21 0UG,57.243841,-2.184159
226,AB21 0UL,57.271847,-2.170829
227,AB21 0UN,57.284776,-2.155130
228,AB21 0UP,57.284110,-2.169974
229,AB21 0UQ,57.266239,-2.179458
230,AB21 0UR,57.261788,-2.182536
231,AB21 0US,57.250403,-2.178850
232,AB21 0UT,57.237880,-2.179684
233,AB21 0UU,57.263190,-2.188163
234,AB21 0UW,57.263071,-2.183520
235,AB21 0UX,57.310189,-2.258685
236,AB21 0UY,57.264118,-2.186576
237,AB21 0UZ,57.263228,-2.187185
238,AB21 0WA,57.206190,-2.289158
239,AB21 0WB,57.265027,-2.187099
240,AB21 0WF,57.264052,-2.182315
241,AB21 0WG,57.265639,-2.184694
242,AB21 0WH,57.202854,-2.286732
243,AB21 0WJ,57.267045,-2.193306
244,AB21 0WL,57.266057,-2.193052
245,AB21 0WN,57.266370,-2.194048
246,AB21 0WP,57.266651,-2.192624
247,AB21 0WQ,57.267774,-2.192497
249,AB21 0WW,57.266947,-2.186640
251,AB21 0WZ,57.270401,-2.191686
252,AB21 0XA,57.203444,-2.284138
253,AB21 0XB,57.204080,-2.284872
254,AB21 0XD,57.203399,-2.287862
255,AB21 0XF,57.262621,-2.184513
256,AB21 0XG,57.263492,-2.184799
257,AB21 0XN,57.202366,-2.283600
258,AB21 0XP,57.201676,-2.283545
259,AB21 0XQ,57.207497,-2.287414
260,AB21 0XR,57.208037,-2.287004
261,AB21 0XS,57.207597,-2.286686
262,AB21 0XT,57.207136,-2.288090
263,AB21 0XU,57.206909,-2.288850
264,AB21 0XW,57.205923,-2.288196
265,AB21 0XX,57.205224,-2.287446
266,AB21 0XY,57.237483,-2.262400
267,AB21 0XZ,57.263288,-2.182676
268,AB21 0YA,57.237670,-2.267470
269,AB21 0YB,57.236878,-2.265265
270,AB21 0YD,57.240101,-2.277313
271,AB21 0YE,57.235829,-2.266828
272,AB21 0YF,57.237262,-2.264751
273,AB21 0YG,57.237682,-2.265814
274,AB21 0YL,57.238205,-2.285599
275,AB21 0YN,57.202324,-2.286612
276,AB21 0YP,57.202391,-2.285057
277,AB21 0YQ,57.248493,-2.263539
278,AB21 0YR,57.254368,-2.267028
279,AB21 0YS,57.258032,-2.282026
280,AB21 0YT,57.265848,-2.273647
281,AB21 0YX,57.274657,-2.277672
283,AB21 0ZR,57.205108,-2.294794
284,AB21 0ZS,57.204815,-2.293152
285,AB21 0ZT,57.204237,-2.292078
287,AB21 7AA,57.209439,-2.188606
288,AB21 7AB,57.211521,-2.187701
289,AB21 7AD,57.209680,-2.187609
290,AB21 7AE,57.211316,-2.186806
291,AB21 7AF,57.212604,-2.190223
292,AB21 7AG,57.212004,-2.189475
293,AB21 7AH,57.215300,-2.185424
294,AB21 7AJ,57.219702,-2.183537
295,AB21 7AL,57.220166,-2.173190
296,AB21 7AN,57.208452,-2.166381
297,AB21 7AP,57.206832,-2.154935
298,AB21 7AQ,57.215782,-2.144724
299,AB21 7AR,57.207360,-2.133534
300,AB21 7AS,57.231223,-2.139921
301,AB21 7AT,57.223981,-2.156520
302,AB21 7AU,57.205034,-2.188959
303,AB21 7AX,57.205005,-2.189803
304,AB21 7AY,57.205139,-2.190747
305,AB21 7AZ,57.199856,-2.185474
306,AB21 7BA,57.205965,-2.190667
307,AB21 7BB,57.206242,-2.185638
308,AB21 7BD,57.205840,-2.186088
309,AB21 7BE,57.206821,-2.188852
310,AB21 7BG,57.206810,-2.190342
311,AB21 7BH,57.206562,-2.187941
312,AB21 7BJ,57.206784,-2.189779
313,AB21 7BL,57.207435,-2.187217
314,AB21 7BN,57.206781,-2.186137
315,AB21 7BP,57.207491,-2.185777
316,AB21 7BQ,57.207848,-2.187004
317,AB21 7BR,57.208666,-2.187024
318,AB21 7BS,57.208176,-2.183959
319,AB21 7BT,57.207916,-2.184024
320,AB21 7BU,57.207646,-2.184023
321,AB21 7BW,57.211715,-2.190433
322,AB21 7BX,57.207288,-2.182813
323,AB21 7BY,57.206855,-2.184333
324,AB21 7DA,57.209628,-2.186003
325,AB21 7DB,57.210609,-2.184634
326,AB21 7DD,57.211597,-2.185102
327,AB21 7DE,57.211309,-2.185465
